Time;Bead0-x;Bead0-y;Bead1-x;Bead1-y
5726;50.56;46.29335726;61.4354;22.0873
5776;51.1774;46.97465776;61.3519;22.1096
5826;50.8936;47.16785826;61.3676;21.9963
5876;50.4565;47.99345876;61.4436;21.9676
5926;49.2434;47.85925926;61.302;22.0263
5976;49.2415;47.20535976;61.3406;22.1338
6026;49.847;46.50736026;61.4148;22.2577
6075;50.7686;46.41076075;61.431;22.2528
6125;51.0844;46.92826125;61.4149;22.1064
6175;50.8811;47.23596175;61.2583;21.8926
6225;50.4621;47.61736225;61.3044;21.8543
6275;49.62;47.85846275;61.2706;21.9875
6326;49.0675;47.24586326;61.2821;21.9596
6376;47.8949;2145.066376;22.0494;2150.86
6425;49.6971;46.5016425;61.3977;22.0846
6476;50.7583;46.23916476;61.468;22.2419
6526;51.0978;46.58166526;61.4489;22.041
6576;51.1221;47.09496576;61.3725;22.0984
6626;50.7978;47.47716626;61.329;22.0951
6675;50.2577;48.1756675;61.3767;22.1393
6726;49.391;48.00056726;61.2739;22.0967
6776;49.1016;47.22856776;61.3636;22.0543
6826;49.3498;46.77166826;61.3675;22.04
6875;50.0991;46.26676875;61.3744;22.0969
6926;50.9416;46.48636926;61.4528;22.089
6976;51.152;46.9816976;61.3356;22.1587
7026;51.0887;47.02957026;61.3404;22.0817
7076;50.9016;47.34187076;61.3732;21.984
7126;50.1342;48.00937126;61.2996;21.9763
7175;49.1474;47.7817175;61.3559;22.1323
7226;49.2105;47.06047226;61.2272;22.1261
7276;49.8606;46.27057276;61.3486;22.0177
7326;50.707;46.29567326;61.3286;22.0335
7376;51.085;46.85857376;61.3347;22.0429
7425;50.9955;47.40527425;61.4062;22.0791
7476;50.4895;48.00697476;61.4037;22.1389
7526;49.4729;47.89327526;61.2692;21.9762
7576;49.0739;47.30177576;61.2465;21.9032
7626;49.3547;46.94577626;61.3493;22.0362
7676;49.8185;46.42167676;61.3244;22.0904
7726;50.6912;46.30517726;61.4146;22.1397
7775;51.1097;46.80847775;61.4862;22.028
7825;51.042;47.32937825;61.3685;22.1299
7876;50.7796;47.79457876;61.4325;22.1058
7926;50.163;48.06987926;61.3353;22.1362
7976;49.1308;47.77457976;61.2785;21.9892
8026;49.0181;47.11258026;61.2894;21.9681
8076;49.4469;46.59738076;61.3793;21.9225
8126;50.2751;46.27768126;61.4024;22.2102
8175;50.9931;46.54888175;61.3514;22.1722
8225;51.1142;47.00718225;61.3989;22.1687
8275;50.9564;47.27158275;61.4274;22.0892
8325;50.4639;47.80748325;61.2899;21.9959
8376;49.5509;48.02918376;61.2821;21.9025
8426;49.0005;47.49728426;61.2059;22.0315
8476;49.1975;46.88258476;61.3225;21.9537
8526;49.8595;46.34988526;61.3044;21.9866
8576;50.8515;46.55598576;61.34;22.1022
8626;51.129;47.28258626;61.354;22.1584
8675;50.8597;47.68918675;61.3733;22.033
8725;50.0198;48.07328725;61.252;22.0131
8776;49.1141;47.45478776;61.324;21.972
8826;49.4009;47.05368826;61.314;22.1592
8876;50.0595;46.39098876;61.4501;22.2254
8926;50.9873;46.59038926;61.3832;22.1422
8976;51.0195;47.11068976;61.2164;21.92
9026;50.7916;47.53559026;61.3443;22.0063
9075;50.0637;48.07649075;61.3211;22.0845
9126;49.1882;47.7339126;61.4251;22.1239
9176;49.1862;47.10479176;61.466;22.0958
9226;49.8458;46.41649226;61.4224;22.1328
9276;50.9992;46.51919276;61.3973;22.1651
9326;51.1797;47.41049326;61.4085;22.2549
9376;50.7677;47.59469376;61.4132;22.0538
9426;49.8448;48.00329426;61.3486;21.8954
9475;49.096;47.24779475;61.3601;21.8424
9525;49.4086;46.58479525;61.3776;21.9671
9575;50.2439;46.11439575;61.4699;21.9981
9626;51.1702;46.75539626;61.4146;21.9991
9675;50.9662;47.29639675;61.411;22.0027
9726;50.4363;47.88859726;61.3587;21.9463
9776;49.0844;47.06329776;61.1838;21.4317
9826;49.0373;46.22349826;61.1158;21.2453
9876;49.8775;46.6479876;61.2493;22.1049
9926;51.528;48.40729926;61.9188;23.9109
9976;51.6973;49.31059976;62.202;24.1418
10026;51.0882;48.557210026;61.9121;23.2412
10076;49.7973;48.145510076;61.4876;22.3596
